,title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature
72,Remember the Name (feat. Styles of Beyond),"['Fort Minor', 'Styles Of Beyond']",spotify:track:7vwkKw2Xd7Pks1X712Au0T,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,7vwkKw2Xd7Pks1X712Au0T,spotify:track:7vwkKw2Xd7Pks1X712Au0T,230493,4
73,I'm Gonna Be (500 Miles),['The Proclaimers'],spotify:track:66S14BkJDxgkYxLl5DCqOz,0.851,0.551,4,-5.177,1,0.0396,0.151,0.0,0.0827,0.807,131.922,66S14BkJDxgkYxLl5DCqOz,spotify:track:66S14BkJDxgkYxLl5DCqOz,219467,4
74,This Love,['Maroon 5'],spotify:track:5zF2zGPkL6Ipsn9AfAK6RP,0.714,0.868,5,-4.596,0,0.0363,0.0551,0.0,0.0987,0.78,95.05,5zF2zGPkL6Ipsn9AfAK6RP,spotify:track:5zF2zGPkL6Ipsn9AfAK6RP,206200,4
75,Tears in Heaven,['Eric Clapton'],spotify:track:7utRJ4BeYx85khzP3lKoBX,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,7utRJ4BeYx85khzP3lKoBX,spotify:track:7utRJ4BeYx85khzP3lKoBX,271760,4
76,All Star,['Smash Mouth'],spotify:track:22c2pt75xtnDddA5Zlm0yy,0.73,0.862,11,-5.876,1,0.0313,0.0398,0.0,0.0818,0.77,104.018,22c2pt75xtnDddA5Zlm0yy,spotify:track:22c2pt75xtnDddA5Zlm0yy,200560,4
77,When You Were Young,['The Killers'],spotify:track:3gNGi2iUGHXGpBQHce6Nua,0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.435,3gNGi2iUGHXGpBQHce6Nua,spotify:track:3gNGi2iUGHXGpBQHce6Nua,220427,4
78,New Shoes,['Paolo Nutini'],spotify:track:265Anh9hGoozFigjUVLUeD,0.748,0.735,8,-8.692,1,0.0903,0.47,1.09e-05,0.0851,0.854,150.04,265Anh9hGoozFigjUVLUeD,spotify:track:265Anh9hGoozFigjUVLUeD,203653,4
79,Someday,['The Strokes'],spotify:track:56NkIxSZZiMpFP5ZNSxtnT,0.542,0.531,9,-7.481,1,0.0301,0.0033,1.51e-06,0.338,0.671,105.97,56NkIxSZZiMpFP5ZNSxtnT,spotify:track:56NkIxSZZiMpFP5ZNSxtnT,183391,4
80,Knocked Up,['Kings of Leon'],spotify:track:6BLpO1HyXTVHlv0fTT3mme,0.382,0.688,9,-12.569,1,0.0419,0.268,0.0928,0.184,0.207,121.352,6BLpO1HyXTVHlv0fTT3mme,spotify:track:6BLpO1HyXTVHlv0fTT3mme,430347,4
81,Sympathy For The Devil,['The Rolling Stones'],spotify:track:0DQtwZLpvln583U1WWv6To,0.658,0.675,9,-10.967,1,0.242,0.604,0.0,0.0428,0.587,115.574,0DQtwZLpvln583U1WWv6To,spotify:track:0DQtwZLpvln583U1WWv6To,377760,4
82,Still Waiting,['Sum 41'],spotify:track:0jqK7sGTLsHPkQrrcrGuKD,0.431,0.95,7,-4.918,1,0.26,0.00105,3.63e-05,0.272,0.56,191.936,0jqK7sGTLsHPkQrrcrGuKD,spotify:track:0jqK7sGTLsHPkQrrcrGuKD,158733,4
83,Brothers In Arms - Edit,['Dire Straits'],spotify:track:4TZCgwX3si4FsGqboRct9A,0.415,0.265,8,-12.232,0,0.0274,0.506,0.82,0.0656,0.158,79.024,4TZCgwX3si4FsGqboRct9A,spotify:track:4TZCgwX3si4FsGqboRct9A,290714,4
84,Speed of Sound,['Coldplay'],spotify:track:7clUVcSOtkNWa58Gw5RfD4,0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067,7clUVcSOtkNWa58Gw5RfD4,spotify:track:7clUVcSOtkNWa58Gw5RfD4,287907,4
85,Money For Nothing - Edit,['Dire Straits'],spotify:track:6j5XX0wwygH7kqTWplx7j4,0.679,0.676,2,-9.734,0,0.0371,0.0777,1.38e-05,0.0938,0.8,134.238,6j5XX0wwygH7kqTWplx7j4,spotify:track:6j5XX0wwygH7kqTWplx7j4,246840,4
86,Time After Time,['Cyndi Lauper'],spotify:track:05NEcj4geEg0JthGNSGUI7,0.725,0.433,0,-9.809,1,0.0295,0.603,0.0,0.095,0.341,130.536,05NEcj4geEg0JthGNSGUI7,spotify:track:05NEcj4geEg0JthGNSGUI7,237867,4
87,Om du lämnade mig nu,"['Lars Winnerbäck', 'Miss Li']",spotify:track:17q9gSD214wClyCjqrhmgH,0.489,0.475,9,-11.012,1,0.0266,0.27,0.00719,0.122,0.46,107.878,17q9gSD214wClyCjqrhmgH,spotify:track:17q9gSD214wClyCjqrhmgH,247427,4
88,The Reason,['Hoobastank'],spotify:track:7afSN5zhUhkbpRFpYKYztK,0.472,0.671,4,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,82.952,7afSN5zhUhkbpRFpYKYztK,spotify:track:7afSN5zhUhkbpRFpYKYztK,232800,4
89,Around the World,['Daft Punk'],spotify:track:1pKYYY0dkg23sQQXi0Q5zN,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,1pKYYY0dkg23sQQXi0Q5zN,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,429533,4
90,Curly Sue,['Takida'],spotify:track:0uIiMH63tVwLfmMt7OXx2h,0.53,0.505,0,-8.843,0,0.0278,0.0402,0.0,0.109,0.191,147.964,0uIiMH63tVwLfmMt7OXx2h,spotify:track:0uIiMH63tVwLfmMt7OXx2h,233027,4
91,All The Small Things,['blink-182'],spotify:track:12qZHAeOyTf93YAWvGDTat,0.442,0.893,0,-4.878,1,0.0505,0.00844,0.0,0.529,0.712,148.119,12qZHAeOyTf93YAWvGDTat,spotify:track:12qZHAeOyTf93YAWvGDTat,168000,4
92,Denied,['Sonic Syndicate'],spotify:track:3kn91xR0w9zuzLr7DThHcC,0.444,0.977,0,-2.998,0,0.0859,0.000116,2.41e-05,0.291,0.402,99.976,3kn91xR0w9zuzLr7DThHcC,spotify:track:3kn91xR0w9zuzLr7DThHcC,231680,4
